007,053,183,439,863,497,383,563,079,973,287,063,343,169,583
627,343,773,959,943,767,473,103,699,303,957,703,583,639,913
447,283,463,029,023,487,463,993,119,883,327,493,423,159,743
217,623,003,399,853,407,103,983,089,463,290,516,212,462,350
960,376,682,962,300,780,486,502,912,800,250,346,172,812,350
870,456,192,162,593,473,915,045,989,873,823,965,425,329,803
973,965,905,919,133,673,665,235,509,613,673,815,165,992,326
322,148,972,962,286,255,941,541,265,323,925,281,601,095,973
445,721,011,525,473,065,511,164,138,672,018,428,154,448,848
414,456,310,312,798,104,566,520,302,248,694,976,430,392,198
184,829,373,181,631,101,969,613,840,740,778,458,284,760,390
821,461,843,513,017,901,711,993,293,157,274,094,192,156,574
034,124,004,878,450,476,712,914,838,669,875,299,823,329,699
815,559,813,459,522,788,168,586,966,232,308,833,251,631,107
813,883,451,509,615,077,281,613,459,205,380,274,302,035,805
